item without .,;:&() --- original item
---------------------------
General Ledger Setup --- "General Ledger Setup"
Manage Cost Centres --- "Manage Cost Centres"
Setup Analysis Types --- "Setup Analysis Types"
Maintain Analysis Types --- "Maintain Analysis Types"
Finance Setup Cross-Ledger --- "Finance Setup (Cross-Ledger)"
Setup Email Destinations --- "Setup Email Destinations"
Setup Currency Languages --- "Setup Currency Languages"
Exchange Rates Cross-Ledger --- "Exchange Rates (Cross-Ledger)"
Local Personnel Data --- "Local Personnel Data"
Setup Ability Areas --- "Setup Ability Areas"
Setup Ability Levels --- "Setup Ability Levels"
Setup Document Types --- "Setup Document Types"
Setup Driver Status --- "Setup Driver Status"
Maintain Driver Status --- "Maintain Driver Status"
Setup Language Levels --- "Setup Language Levels"
Setup Leadership Ratings --- "Setup Leadership Ratings"
Setup Leaving Codes --- "Setup Leaving Codes"
Setup Passport Types --- "Setup Passport Types"
Setup Professional Areas --- "Setup Professional Areas"
Setup Qualification Levels --- "Setup Qualification Levels"
Setup Skill Categories --- "Setup Skill Categories"
Maintain Skill Categories --- "Maintain Skill Categories"
Setup Skill Levels --- "Setup Skill Levels"
Setup Applicant Statuses --- "Setup Applicant Statuses"
Setup Application Types --- "Setup Application Types"
Setup Event Roles --- "Setup Event Roles"
Maintain Event Roles --- "Maintain Event Roles"
Setup Organisation Contacts --- "Setup Organisation Contacts"
Maintain Organisation Contacts --- "Maintain Organisation Contacts"
Arrival Listing Report --- "Arrival Listing Report"
FinDev {0} {1} --- "FinDev {0} {1}"
Income By Fund --- "Income By Fund"
Donors Per Recipient --- "Donors Per Recipient"
Method Of Giving --- "Method Of Giving"
Old Style Reports --- "Old Style Reports"
Short Donor Report --- "Short Donor Report"
Detail Donor Report --- "Detail Donor Report"
Set Language Settings --- "Set Language Settings"
Maintain Security-related Groups --- "Maintain Security-related Groups"
Export All Data --- "Export All Data"
Setup Language Specifics --- "Setup Language Specifics"
---------------------------
719 items have 3 words.
